date,crypto_id,avg_price,min_price,max_price,total_volume,volatility
2025-10-21,tether,1.00026667,1.0,1.001,4732024710874,0.0
2025-10-21,bitcoin,108652.19148936,108451.0,108875.0,2923490803592,112.41
2025-10-21,ethereum,3882.20022222,3873.78,3893.44,1490820413101,4.9
2025-10-21,usd-coin,0.99983296,0.999797,0.999901,486479971927,0.0
2025-10-21,solana,186.28711111,185.78,186.87,256997098548,0.3
2025-10-21,ripple,2.42266667,2.42,2.43,190635244278,0.0
2025-10-21,binance-bridged-usdt-bnb-smart-chain,0.9999436,0.999304,1.001,125013633183,0.0
2025-10-21,binancecoin,1075.91866667,1071.78,1078.89,115100969802,1.62
2025-10-21,dogecoin,0.1950776,0.194766,0.195532,83406517293,0.0
2025-10-21,chainlink,18.10266667,17.95,18.23,47085464815,0.08
2025-10-21,cardano,0.64831038,0.646843,0.649673,45456413285,0.0
2025-10-21,ethena-usde,0.99940331,0.999111,0.999729,40665227032,0.0
2025-10-21,sui,2.50355556,2.5,2.51,37861547022,0.0
2025-10-21,zcash,273.16911111,267.36,276.56,32546529201,2.67
2025-10-21,tron,0.32242627,0.32217,0.322792,25762043890,0.0
2025-10-21,litecoin,93.01288889,92.88,93.22,23441790955,0.08
2025-10-21,coinbase-wrapped-btc,108592.75555556,108313.0,108872.0,21972146745,165.94
2025-10-21,avalanche-2,20.00288889,19.97,20.06,21764365919,0.03
2025-10-21,hyperliquid,36.26755556,36.12,36.54,19955798126,0.1
2025-10-21,bitcoin-cash,475.15244444,474.24,476.9,18405054519,0.8
2025-10-21,wrapped-bitcoin,108490.75555556,108173.0,108857.0,17647585406,194.05
2025-10-21,usdt0,1.00006582,0.99961,1.001,14722408254,0.0
2025-10-21,ethena,0.44444464,0.441656,0.44659,14601223920,0.0
2025-10-21,pepe,6.92e-06,6.91e-06,6.93e-06,14430108670,0.0
2025-10-21,aave,222.06244444,221.49,222.84,13961516078,0.35
2025-10-21,bittensor,401.46777778,400.08,403.44,13877800440,0.95
2025-10-21,uniswap,6.29377778,6.27,6.31,10656477897,0.01
2025-10-21,mantle,1.72355556,1.71,1.74,10088789786,0.01
2025-10-21,weth,3882.92066667,3870.28,3893.62,8948399455,5.42
2025-10-21,polkadot,3.00955556,3.0,3.01,8914436776,0.0
2025-10-21,stellar,0.31608729,0.3156,0.316714,8613798945,0.0
2025-10-21,hedera-hashgraph,0.17270751,0.172409,0.173176,8303225861,0.0
2025-10-21,monero,314.37711111,313.83,315.15,7669095994,0.36
2025-10-21,shiba-inu,1.004e-05,1.002e-05,1.006e-05,7131304494,0.0
2025-10-21,the-open-network,2.22688889,2.22,2.24,6329441889,0.01
2025-10-21,whitebit,41.11533333,41.08,41.16,5527037976,0.03
2025-10-21,world-liberty-financial,0.12946671,0.129218,0.130124,5502264833,0.0
2025-10-21,dai,1.00031618,0.998574,1.002,3475664426,0.0
2025-10-21,bitget-token,4.56955556,4.56,4.58,3118372798,0.0
2025-10-21,staked-ether,3880.65711111,3873.45,3891.35,2859162701,4.23
2025-10-21,okb,165.36955556,165.13,165.66,2453012755,0.13
2025-10-21,ethena-staked-usde,1.2,1.2,1.2,2451555812,0.0
2025-10-21,crypto-com-chain,0.14523136,0.144833,0.145745,1286567121,0.0
2025-10-21,wrapped-steth,4724.95,4715.6,4735.51,986850080,5.56
2025-10-21,figure-heloc,0.997048,0.997048,0.997048,918829620,0.0
2025-10-21,wrapped-eeth,4188.88377778,4180.0,4199.86,768382059,5.38
2025-10-21,usds,1.00003024,0.999659,1.001,694999608,0.0
2025-10-21,memecore,2.09644444,2.08,2.1,626132789,0.01
2025-10-21,wrapped-beacon-eth,4189.48511111,4180.33,4202.17,588121429,5.19
2025-10-21,susds,1.0734,1.072,1.076,133155662,0.0
2025-10-21,leo-token,8.958,8.95,8.97,28107244,0.01
