date,crypto_id,avg_price,min_price,max_price,total_volume,volatility
2025-10-23,tether,1.0,1.0,1.0,226817116556,0.0
2025-10-23,bitcoin,109884.66666667,109882.0,109886.0,188631177685,2.31
2025-10-23,ethereum,3885.9,3885.9,3885.9,73055840864,0.0
2025-10-23,usd-coin,0.999808,0.999808,0.999808,24699798628,0.0
2025-10-23,solana,191.23,191.23,191.23,14237209814,0.0
2025-10-23,binance-bridged-usdt-bnb-smart-chain,1.001,1.001,1.001,7304340630,0.0
2025-10-23,ripple,2.4,2.4,2.4,6751472450,0.0
2025-10-23,binancecoin,1129.71,1129.71,1129.71,5830647420,0.0
2025-10-23,dogecoin,0.19595,0.19595,0.19595,3910440946,0.0
2025-10-23,cardano,0.645792,0.645792,0.645792,2232309518,0.0
2025-10-23,sui,2.47,2.47,2.47,1826999270,0.0
2025-10-23,chainlink,17.54,17.54,17.54,1636281632,0.0
2025-10-23,tron,0.314663,0.314663,0.314663,1575243198,0.0
2025-10-23,hyperliquid,39.75,39.75,39.75,1552229412,0.0
2025-10-23,zcash,236.98,236.98,236.98,1340146876,0.0
2025-10-23,litecoin,94.01,94.01,94.01,1275648564,0.0
2025-10-23,bitcoin-cash,485.32,485.32,485.32,1225966436,0.0
2025-10-23,figure-heloc,0.999939,0.999939,0.999939,1188511936,0.0
2025-10-23,ethena-usde,0.999409,0.999409,0.999409,955233116,0.0
2025-10-23,avalanche-2,19.63,19.63,19.63,940949562,0.0
2025-10-23,coinbase-wrapped-btc,110021.0,110021.0,110021.0,900752054,0.0
2025-10-23,weth,3891.68,3891.68,3891.68,837665408,0.0
2025-10-23,usdt0,1.0,1.0,1.0,747892644,0.0
2025-10-23,wrapped-bitcoin,109777.0,109777.0,109777.0,739289380,0.0
2025-10-23,ethena,0.468519,0.468519,0.468519,716115306,0.0
2025-10-23,aave,225.58,225.58,225.58,709465268,0.0
2025-10-23,bittensor,385.16,385.16,385.16,587830794,0.0
2025-10-23,world-liberty-financial,0.142018,0.142018,0.142018,544584464,0.0
2025-10-23,chainopera-ai,18.12,18.12,18.12,465993264,0.0
2025-10-23,uniswap,6.3,6.3,6.3,462511834,0.0
2025-10-23,hedera-hashgraph,0.164902,0.164902,0.164902,460919694,0.0
2025-10-23,polkadot,3.01,3.01,3.01,438529556,0.0
2025-10-23,dai,0.999869,0.999869,0.999869,429920104,0.0
2025-10-23,monero,318.09,318.09,318.09,428809790,0.0
2025-10-23,mantle,1.7,1.7,1.7,378881918,0.0
2025-10-23,shiba-inu,1.01e-05,1.01e-05,1.01e-05,334735282,0.0
2025-10-23,stellar,0.312753,0.312753,0.312753,321221346,0.0
2025-10-23,the-open-network,2.12,2.12,2.12,264520434,0.0
2025-10-23,whitebit,41.94,41.94,41.94,165648872,0.0
2025-10-23,ethena-staked-usde,1.2,1.2,1.2,164542038,0.0
2025-10-23,okb,163.79,163.79,163.79,139788050,0.0
2025-10-23,staked-ether,3886.6,3886.6,3886.6,134002210,0.0
2025-10-23,susds,1.073,1.073,1.073,64322068,0.0
2025-10-23,wrapped-beacon-eth,4202.02,4202.02,4202.02,55741442,0.0
2025-10-23,crypto-com-chain,0.144045,0.144045,0.144045,52069962,0.0
2025-10-23,usds,0.999783,0.999783,0.999783,45880386,0.0
2025-10-23,wrapped-steth,4734.44,4734.44,4734.44,35659206,0.0
2025-10-23,memecore,2.2,2.2,2.2,22399458,0.0
2025-10-23,wrapped-eeth,4200.75,4200.75,4200.75,8613440,0.0
2025-10-23,leo-token,8.97,8.97,8.97,1023712,0.0
